,DB_ID1,DB_ID2
437341,DB00679,DB09070
487761,DB00679,DB08882
484141,DB00679,DB01220
250450,DB00679,DB08795
102226,DB00679,DB09053
161794,DB00679,DB00231
498915,DB00679,DB09288
137680,DB00679,DB00412
530155,DB00679,DB00734
252886,DB00679,DB00977
441424,DB00679,DB01254
340891,DB00679,DB01594
61690,DB00679,DB01415
157686,DB00679,DB00449
532727,DB00679,DB00319
524422,DB00679,DB06698
394251,DB00679,DB01418
187075,DB00679,DB01062
498655,DB00679,DB00590
183025,DB00679,DB01307
36589,DB00679,DB01241
241181,DB00679,DB00418
289681,DB00679,DB01501
1295,DB00679,DB09038
130578,DB00679,DB00641
317597,DB00679,DB01162
48086,DB00679,DB00399
526096,DB00679,DB00578
27441,DB00679,DB06707
189729,DB00679,DB00230
365585,DB00679,DB01000
240799,DB00679,DB01192
344641,DB00679,DB06480
81629,DB00679,DB01080
131868,DB00679,DB01276
73831,DB00679,DB01023
85046,DB00679,DB01544
550660,DB00679,DB00378
174054,DB00679,DB01380
199171,DB00679,DB00252
368097,DB00679,DB00554
45151,DB00679,DB00684
60706,DB00679,DB11093
129783,DB00679,DB04339
381239,DB00679,DB09477
131436,DB00679,DB00180
56406,DB00679,DB06210
102894,DB00679,DB01163
484893,DB00679,DB00493
104068,DB00679,DB00864
192960,DB00679,DB01590
371012,DB00679,DB01197
464681,DB00679,DB01053
439030,DB00679,DB00301
17265,DB00679,DB00912
289304,DB00679,DB06655
84797,DB00679,DB01236
379101,DB00679,DB06441
127468,DB00679,DB01167
187883,DB00679,DB09268
362396,DB00679,DB08903
298441,DB00679,DB00959
557645,DB00679,DB01553
371502,DB00679,DB01432
384192,DB00679,DB09300
13855,DB00679,DB05039
384416,DB00679,DB00359
145233,DB00679,DB00405
514861,DB00679,DB01058
273674,DB00679,DB00762
108247,DB00679,DB00841
325314,DB00679,DB01156
315849,DB00679,DB04855
297094,DB00679,DB04884
371956,DB00679,DB09068
99896,DB00679,DB00470
249963,DB00679,DB00285
544087,DB00679,DB00918
374756,DB00679,DB00543
560575,DB00679,DB00216
139502,DB00679,DB00908
371841,DB00679,DB00956
171416,DB00679,DB08897
252005,DB00679,DB08893
476847,DB00679,DB00932
523512,DB00679,DB00482
151694,DB00679,DB01037
321282,DB00679,DB01253
361669,DB00679,DB08883
548,DB00679,DB00295
489938,DB00679,DB01233
105989,DB00679,DB06204
193265,DB00679,DB00363
7454,DB00679,DB00486
415273,DB00679,DB00622
14970,DB00490,DB00742
69117,DB00490,DB01000
52713,DB00490,DB06655
451417,DB00490,DB06207
533075,DB00490,DB09166
535808,DB00490,DB00684
86864,DB00490,DB09288
464275,DB00490,DB01364
371288,DB00490,DB06730
182537,DB00490,DB00120
388707,DB00490,DB05676
240551,DB00490,DB06414
137682,DB00490,DB00863
301209,DB00490,DB00314
473101,DB00490,DB00233
400874,DB00490,DB09275
159650,DB00490,DB00317
28465,DB00490,DB00435
197772,DB00490,DB00830
