,Interaction
437341,0.0
487761,0.0
484141,0.0
250450,0.0
102226,0.0
161794,0.0
498915,0.0
137680,0.0
530155,0.0
252886,0.0
441424,0.0
340891,0.0
61690,0.0
157686,0.0
532727,0.0
524422,0.0
394251,0.0
187075,0.0
498655,0.0
183025,0.0
36589,0.0
241181,0.0
289681,0.0
1295,0.0
130578,0.0
317597,0.0
48086,0.0
526096,0.0
27441,0.0
189729,0.0
365585,0.0
240799,0.0
344641,0.0
81629,0.0
131868,0.0
73831,0.0
85046,0.0
550660,0.0
174054,0.0
199171,0.0
368097,0.0
45151,0.0
60706,0.0
129783,0.0
381239,0.0
131436,0.0
56406,0.0
102894,0.0
484893,0.0
104068,0.0
192960,0.0
371012,0.0
464681,0.0
439030,0.0
17265,0.0
289304,0.0
84797,0.0
379101,0.0
127468,0.0
187883,0.0
362396,0.0
298441,0.0
557645,0.0
371502,0.0
384192,0.0
13855,0.0
384416,0.0
145233,0.0
514861,0.0
273674,0.0
108247,0.0
325314,1.0
315849,1.0
297094,1.0
371956,1.0
99896,1.0
249963,1.0
544087,1.0
374756,1.0
560575,1.0
139502,1.0
371841,1.0
171416,1.0
252005,1.0
476847,1.0
523512,1.0
151694,1.0
321282,1.0
361669,1.0
548,1.0
489938,1.0
105989,1.0
193265,1.0
7454,1.0
415273,1.0
14970,0.0
69117,0.0
52713,0.0
451417,0.0
533075,0.0
535808,0.0
86864,0.0
464275,0.0
371288,0.0
182537,0.0
388707,0.0
240551,0.0
137682,0.0
301209,0.0
473101,0.0
400874,0.0
159650,0.0
28465,0.0
197772,0.0
353038,0.0
1,0.0
289126,0.0
531640,0.0
273965,0.0
138464,0.0
209996,0.0
204050,0.0
398694,0.0
370765,0.0
476974,0.0
546181,0.0
70650,0.0
343319,0.0
122232,0.0
412286,0.0
138162,0.0
527255,0.0
36814,0.0
179254,0.0
257878,0.0
221823,0.0
466899,0.0
157494,0.0
512158,0.0
438305,0.0
63171,0.0
88612,0.0
382787,0.0
236319,0.0
189056,0.0
186816,0.0
428316,0.0
89236,0.0
31765,0.0
47167,0.0
142755,0.0
245034,0.0
443903,0.0
125809,0.0
47112,0.0
272602,0.0
496992,0.0
351877,0.0
403119,0.0
261441,0.0
218579,0.0
11517,0.0
69919,0.0
182910,0.0
360499,0.0
524667,0.0
524112,0.0
180071,0.0
553151,0.0
189014,1.0
273786,1.0
480950,1.0
468019,1.0
127031,1.0
389621,1.0
337864,1.0
164349,1.0
522856,1.0
135687,1.0
24280,1.0
65066,1.0
193640,1.0
214445,1.0
93383,1.0
175701,1.0
148436,1.0
25456,1.0
31973,1.0
514667,1.0
54811,1.0
358517,0.0
66367,0.0
343758,0.0
310643,0.0
82415,0.0
279505,0.0
24039,0.0
83480,0.0
218921,0.0
238104,0.0
158294,0.0
155190,0.0
202389,0.0
334104,0.0
184897,0.0
247739,0.0
127070,0.0
549437,0.0
213072,0.0
435154,0.0
236631,0.0
396844,0.0
444939,0.0
50603,0.0
249093,0.0
143420,0.0
188870,0.0
504018,0.0
41688,0.0
105424,0.0
208849,0.0
15608,0.0
534139,0.0
221623,0.0
178959,0.0
62614,0.0
35562,0.0
279569,0.0
157552,0.0
250360,0.0
274715,0.0
48358,0.0
476347,0.0
467673,0.0
188817,0.0
539212,0.0
82408,0.0
2300,0.0
349373,1.0
365672,1.0
290586,1.0
226388,1.0
337289,1.0
117089,1.0
357201,1.0
303648,1.0
352914,1.0
368699,1.0
79321,1.0
164322,1.0
65149,1.0
248544,1.0
103521,1.0
117965,1.0
439133,1.0
210571,1.0
550003,1.0
78084,1.0
279381,1.0
78918,1.0
48735,1.0
40185,1.0
444907,1.0
270406,1.0
470055,1.0
235423,1.0
215307,1.0
496604,1.0
117510,1.0
476625,1.0
391270,1.0
496967,1.0
540369,1.0
7950,1.0
344728,1.0
421718,1.0
251379,1.0
434182,1.0
186290,1.0
111605,1.0
483110,1.0
305379,1.0
326980,1.0
322750,1.0
124474,1.0
306738,0.0
80978,0.0
345319,0.0
172110,0.0
122610,0.0
333981,0.0
441942,0.0
140136,0.0
78834,0.0
280387,0.0
15145,0.0
220145,0.0
359784,0.0
94924,0.0
421260,0.0
440674,0.0
558142,0.0
39296,0.0
372102,0.0
460977,0.0
553258,0.0
553488,0.0
252603,0.0
259039,0.0
82466,0.0
528406,0.0
533565,0.0
459813,0.0
119298,0.0
393284,0.0
352589,0.0
251727,0.0
509426,0.0
182727,0.0
2094,0.0
391459,0.0
311894,0.0
79192,0.0
237443,0.0
74476,0.0
405251,0.0
106924,0.0
547151,0.0
202604,0.0
41222,0.0
83943,0.0
3,0.0
17222,0.0
365475,0.0
28037,0.0
80609,0.0
196437,0.0
143604,0.0
469146,0.0
217737,0.0
67950,0.0
160736,0.0
23226,0.0
493009,0.0
89216,0.0
557664,0.0
468486,0.0
379919,0.0
544842,0.0
89893,0.0
44400,0.0
518430,0.0
53500,0.0
304788,0.0
443552,0.0
408830,0.0
235529,0.0
326932,0.0
348131,0.0
372308,0.0
360925,0.0
293375,0.0
79071,0.0
526371,0.0
293118,0.0
171019,0.0
92372,0.0
358633,0.0
76107,1.0
243113,1.0
329485,1.0
147419,1.0
267083,1.0
554886,1.0
164564,1.0
360268,1.0
421996,1.0
559124,1.0
153477,1.0
281758,1.0
552504,0.0
35501,0.0
169604,0.0
85285,0.0
97485,0.0
145481,0.0
335687,0.0
239894,0.0
321381,0.0
15208,0.0
384530,0.0
381325,0.0
343057,0.0
544009,0.0
102539,0.0
521061,0.0
34476,0.0
123913,0.0
488389,0.0
232239,0.0
425246,0.0
312271,0.0
217284,0.0
444690,0.0
4,0.0
417520,0.0
16426,0.0
115434,0.0
526723,0.0
245997,0.0
327564,0.0
234837,0.0
497288,0.0
260821,0.0
64994,0.0
280061,0.0
22419,0.0
507701,0.0
194689,0.0
87396,0.0
42711,0.0
493891,0.0
222410,0.0
558274,0.0
99983,0.0
481018,0.0
472340,0.0
112813,0.0
402467,0.0
305305,0.0
367301,0.0
91058,0.0
384348,0.0
243996,0.0
254751,0.0
218026,0.0
85882,0.0
504866,0.0
552197,0.0
278940,0.0
177389,0.0
93127,0.0
75253,0.0
340071,0.0
193414,0.0
373925,0.0
82116,0.0
444259,0.0
408256,0.0
481151,0.0
364450,0.0
558437,0.0
328449,1.0
241154,1.0
77043,1.0
450106,1.0
543438,1.0
385240,1.0
124918,1.0
421252,1.0
383343,1.0
317153,1.0
179115,1.0
296641,1.0
222962,1.0
468977,1.0
185576,1.0
339688,1.0
22578,1.0
457891,1.0
122899,1.0
203030,1.0
40471,1.0
425028,1.0
353825,1.0
155932,0.0
428516,0.0
3634,0.0
355328,0.0
335480,0.0
104961,0.0
236371,0.0
536725,0.0
554805,0.0
119304,0.0
8759,0.0
560702,0.0
99922,0.0
313223,0.0
331562,0.0
506459,0.0
2016,0.0
171975,0.0
279344,0.0
451949,0.0
550836,0.0
525521,0.0
120729,0.0
164603,0.0
355587,0.0
552695,0.0
195075,0.0
109032,0.0
212336,0.0
239570,0.0
92654,0.0
69600,0.0
544819,0.0
395319,0.0
38497,0.0
96579,0.0
503400,0.0
91185,0.0
7497,0.0
234746,0.0
202122,0.0
490450,0.0
308086,0.0
218243,0.0
399548,0.0
547042,0.0
254452,0.0
315083,0.0
148648,0.0
102237,0.0
555934,0.0
180150,0.0
536353,0.0
108917,0.0
387102,0.0
289974,0.0
479061,0.0
202564,0.0
507358,0.0
377095,0.0
231185,0.0
548770,0.0
366061,0.0
307073,0.0
92605,0.0
465907,0.0
168030,0.0
132784,0.0
89858,0.0
312425,0.0
80719,0.0
476995,0.0
223108,0.0
97130,0.0
199397,0.0
41594,0.0
102236,0.0
105508,0.0
5,0.0
9751,0.0
538278,0.0
31166,0.0
293317,0.0
246313,0.0
22512,1.0
32740,1.0
212041,1.0
522602,1.0
325395,1.0
458862,1.0
244565,1.0
426758,1.0
51981,1.0
284705,1.0
525964,1.0
187278,0.0
310612,0.0
547084,0.0
64573,0.0
355712,0.0
65702,0.0
533760,0.0
139549,0.0
528466,0.0
557051,0.0
240258,0.0
9533,0.0
540692,0.0
66913,0.0
374217,0.0
366268,0.0
117644,0.0
438500,0.0
212095,0.0
501097,0.0
308816,0.0
316730,0.0
26170,0.0
557899,0.0
469764,0.0
493281,0.0
66976,0.0
370892,0.0
227927,0.0
552052,0.0
186782,0.0
504235,0.0
429511,0.0
409273,0.0
548852,0.0
157792,0.0
1815,0.0
385967,0.0
227248,0.0
65014,0.0
552048,0.0
503597,0.0
220656,0.0
59594,0.0
78375,0.0
341930,0.0
28248,0.0
63347,0.0
527576,0.0
6,0.0
11491,0.0
318991,0.0
18806,0.0
95103,0.0
302066,0.0
543493,0.0
491695,0.0
328138,0.0
72065,0.0
272775,0.0
52931,0.0
44565,0.0
255392,0.0
16441,0.0
461949,0.0
227311,0.0
446280,0.0
71420,0.0
31956,0.0
507054,0.0
35743,0.0
462796,0.0
367579,0.0
407486,0.0
66880,0.0
448397,0.0
97695,0.0
220024,0.0
434417,0.0
545866,0.0
62650,0.0
453080,0.0
283701,0.0
26220,1.0
203721,1.0
343885,1.0
61449,1.0
265978,1.0
492590,1.0
134274,1.0
356411,1.0
451148,1.0
503615,1.0
70625,1.0
314732,1.0
343146,0.0
457389,0.0
151278,0.0
518317,0.0
94272,0.0
43900,0.0
242451,0.0
108004,0.0
459058,0.0
426687,0.0
69988,0.0
195036,0.0
462741,0.0
392139,0.0
491872,0.0
511239,0.0
103971,0.0
305252,0.0
511602,0.0
105108,0.0
209569,0.0
9288,0.0
118086,0.0
125007,0.0
150399,0.0
373195,0.0
95864,0.0
109408,0.0
268187,0.0
54365,0.0
202793,0.0
556112,0.0
96335,0.0
420545,0.0
174936,0.0
520245,0.0
516528,0.0
104979,0.0
472542,0.0
296615,0.0
297977,0.0
552520,0.0
146555,0.0
542440,0.0
286883,0.0
459264,0.0
134851,0.0
549515,0.0
106047,0.0
26265,1.0
206071,1.0
73204,1.0
5738,1.0
303439,1.0
313195,1.0
459420,1.0
379390,1.0
343409,1.0
166880,1.0
493166,1.0
510833,1.0
113790,1.0
78856,1.0
414728,1.0
192293,1.0
69737,1.0
41550,1.0
196050,1.0
139753,1.0
176722,1.0
262908,1.0
255589,1.0
103769,1.0
456887,1.0
390471,1.0
182781,1.0
52516,1.0
455660,1.0
302857,1.0
540450,1.0
326821,1.0
555409,1.0
120720,1.0
456586,1.0
154374,1.0
283631,1.0
86060,1.0
401615,1.0
23240,1.0
107416,1.0
252625,1.0
59606,1.0
453870,1.0
45121,1.0
237777,1.0
58720,0.0
65635,0.0
28223,0.0
556204,0.0
76494,0.0
281329,0.0
258035,0.0
10837,0.0
220120,0.0
402782,0.0
86726,0.0
77545,0.0
559535,0.0
93679,0.0
511461,0.0
328564,0.0
444489,0.0
416346,0.0
510039,0.0
86538,0.0
420,0.0
114527,0.0
12554,0.0
527208,0.0
82670,0.0
243314,0.0
377195,0.0
391009,0.0
25795,0.0
272194,0.0
219869,0.0
363352,0.0
454990,0.0
109370,0.0
17068,0.0
33248,0.0
89533,0.0
74592,0.0
162119,0.0
383028,0.0
125403,0.0
146296,0.0
163360,0.0
141305,0.0
394342,0.0
290658,0.0
439771,0.0
554110,0.0
317861,1.0
391381,1.0
238112,1.0
119057,1.0
353098,1.0
9,1.0
422706,1.0
175957,1.0
54219,1.0
204680,1.0
21308,1.0
267157,1.0
312715,1.0
513931,1.0
518703,1.0
295723,1.0
498167,1.0
415192,1.0
554895,1.0
281997,1.0
214420,1.0
334411,1.0
256770,1.0
95387,1.0
423407,1.0
232650,1.0
441181,1.0
50195,1.0
439099,1.0
24542,1.0
495231,1.0
296104,1.0
320691,1.0
159628,1.0
397466,1.0
272686,1.0
34112,1.0
396130,1.0
419359,1.0
177291,1.0
481752,1.0
213954,1.0
423641,1.0
126349,1.0
209009,1.0
16870,1.0
172493,1.0
134636,0.0
97618,0.0
468882,0.0
280070,0.0
86510,0.0
195020,0.0
309259,0.0
446418,0.0
171936,0.0
173369,0.0
163807,0.0
512308,0.0
88237,0.0
501721,0.0
445347,0.0
92776,0.0
377610,0.0
69558,0.0
90598,0.0
197659,0.0
301747,0.0
455480,0.0
41137,0.0
463327,0.0
354358,0.0
14680,0.0
495233,0.0
105742,0.0
203317,0.0
553777,0.0
189076,0.0
431822,0.0
288990,0.0
495977,0.0
81759,0.0
172682,0.0
541665,0.0
306025,0.0
91665,0.0
528327,0.0
194643,0.0
128595,0.0
250953,0.0
465106,0.0
513940,0.0
376940,0.0
144547,0.0
454133,0.0
3580,0.0
376378,0.0
454134,0.0
201634,0.0
420526,0.0
93599,0.0
536086,0.0
495018,0.0
272801,0.0
558089,0.0
116920,0.0
547695,0.0
245445,0.0
309511,0.0
43361,0.0
409071,0.0
521799,0.0
90062,0.0
11,0.0
16544,0.0
331646,0.0
32453,0.0
113662,0.0
96307,0.0
144153,0.0
91329,0.0
550918,0.0
347199,0.0
27553,0.0
516257,1.0
337830,1.0
444000,1.0
366503,1.0
248671,1.0
280520,1.0
526058,1.0
449799,1.0
291649,1.0
295,1.0
158944,1.0
343908,1.0
178210,1.0
314405,1.0
287264,1.0
440464,1.0
88979,1.0
143985,1.0
351037,0.0
420278,0.0
6483,0.0
214808,0.0
79416,0.0
434285,0.0
561106,0.0
523087,0.0
130694,0.0
156598,0.0
9863,0.0
547437,0.0
77943,0.0
462359,0.0
514936,0.0
161722,0.0
1228,0.0
179266,0.0
407743,0.0
149049,0.0
543220,0.0
323905,0.0
333065,0.0
324833,0.0
371964,0.0
328484,0.0
293461,0.0
490441,0.0
459145,0.0
543247,0.0
555194,0.0
60915,0.0
405722,0.0
377046,0.0
35059,0.0
76424,0.0
371300,0.0
73219,0.0
8678,0.0
82832,0.0
118663,0.0
120893,0.0
322499,0.0
151177,0.0
461365,0.0
365723,0.0
75266,0.0
269487,0.0
394413,0.0
79310,0.0
555905,0.0
93368,0.0
457323,0.0
549520,0.0
251929,0.0
241211,0.0
144106,0.0
210781,0.0
486312,0.0
390244,0.0
374860,0.0
276483,0.0
358555,0.0
410362,0.0
73820,0.0
427926,0.0
170039,0.0
87225,0.0
66111,0.0
395612,0.0
92811,0.0
287487,0.0
205666,0.0
38090,0.0
78118,0.0
84581,0.0
12,0.0
14588,0.0
291118,0.0
26669,0.0
298527,0.0
453044,0.0
262013,0.0
554106,0.0
181749,0.0
474390,0.0
22127,0.0
211400,0.0
374735,0.0
16503,0.0
415628,0.0
42856,0.0
178262,1.0
281387,1.0
122951,1.0
222166,0.0
46941,0.0
18665,0.0
460763,0.0
74207,0.0
244027,0.0
102535,0.0
166789,0.0
395591,0.0
172663,0.0
380318,0.0
51020,0.0
332083,0.0
70653,0.0
183970,0.0
265473,0.0
377131,0.0
320579,0.0
493679,0.0
141571,0.0
7027,0.0
258635,0.0
99155,0.0
424909,0.0
516469,0.0
263160,0.0
303261,0.0
227104,0.0
206325,0.0
556268,0.0
38718,0.0
156449,0.0
53472,0.0
537333,0.0
210659,0.0
162169,0.0
89942,0.0
36140,0.0
452731,0.0
230823,0.0
350428,0.0
462857,0.0
42589,0.0
434989,0.0
156503,0.0
533194,0.0
131129,0.0
73048,0.0
280877,1.0
179548,1.0
228709,1.0
173620,1.0
526922,1.0
231661,1.0
53818,1.0
300051,1.0
92835,1.0
246533,1.0
177466,1.0
200832,1.0
138672,1.0
158451,1.0
144938,1.0
170718,1.0
543340,1.0
424060,1.0
25326,1.0
455847,1.0
480195,1.0
495026,1.0
138686,1.0
74264,1.0
86979,1.0
39393,1.0
261333,1.0
270496,1.0
52975,1.0
267399,1.0
531778,1.0
287641,1.0
305692,1.0
452533,1.0
2966,1.0
413698,1.0
423178,1.0
111353,1.0
205792,1.0
479679,1.0
211743,1.0
70874,1.0
303876,1.0
165185,1.0
98980,1.0
307460,1.0
507660,1.0
170875,0.0
421675,0.0
4086,0.0
444043,0.0
76364,0.0
221030,0.0
560641,0.0
515569,0.0
353350,0.0
96932,0.0
6054,0.0
95184,0.0
74657,0.0
196505,0.0
188493,0.0
380398,0.0
1093,0.0
187975,0.0
430868,0.0
137222,0.0
126750,0.0
292463,0.0
257458,0.0
456375,0.0
190684,0.0
78044,0.0
452849,0.0
83763,0.0
317295,0.0
244268,0.0
72395,0.0
53826,0.0
79677,0.0
434260,0.0
27495,0.0
380560,0.0
453873,0.0
406920,0.0
6023,0.0
323461,0.0
66402,0.0
360287,0.0
300358,0.0
363252,0.0
214514,0.0
560374,0.0
72850,0.0
229855,0.0
135310,0.0
75138,0.0
69939,0.0
282486,0.0
347662,0.0
495422,0.0
522598,0.0
502435,0.0
542518,0.0
305172,0.0
494791,0.0
375244,0.0
480001,0.0
397343,0.0
180598,0.0
556167,0.0
558666,0.0
144875,0.0
165246,0.0
510270,0.0
280422,0.0
64105,0.0
469282,0.0
85941,0.0
74493,0.0
189924,0.0
29490,0.0
74720,0.0
356754,0.0
14,0.0
6988,0.0
523428,0.0
18427,0.0
110703,0.0
11103,1.0
458266,1.0
399952,1.0
50893,1.0
172418,1.0
112264,1.0
257476,1.0
94239,1.0
505585,1.0
428011,1.0
355540,1.0
53389,1.0
223409,1.0
363167,0.0
66243,0.0
356139,0.0
79456,0.0
226135,0.0
68961,0.0
196067,0.0
522604,0.0
555102,0.0
539429,0.0
6304,0.0
200051,0.0
418314,0.0
66864,0.0
534768,0.0
233222,0.0
507586,0.0
91888,0.0
548646,0.0
56147,0.0
127821,0.0
373795,0.0
105095,0.0
349604,0.0
533982,0.0
1430,0.0
115816,0.0
405918,0.0
12552,0.0
132208,0.0
180984,0.0
164168,0.0
284463,0.0
262980,0.0
546102,0.0
549760,0.0
493329,0.0
65872,0.0
278810,0.0
462694,0.0
506668,0.0
237680,0.0
212878,0.0
180338,0.0
168211,0.0
71184,0.0
208172,0.0
163929,0.0
280749,0.0
35586,0.0
374924,0.0
533869,0.0
514140,0.0
9426,0.0
549830,0.0
166988,0.0
95215,0.0
409727,0.0
258820,0.0
280746,0.0
268971,0.0
324726,0.0
67228,0.0
557416,0.0
65346,0.0
508076,0.0
478104,0.0
372332,0.0
289555,0.0
358448,0.0
70379,0.0
163461,0.0
237086,0.0
199726,0.0
64985,0.0
331645,0.0
62340,0.0
206054,0.0
403147,0.0
75587,0.0
225448,0.0
39028,0.0
76348,0.0
384872,0.0
15,0.0
15954,0.0
519851,0.0
25803,0.0
481734,0.0
81569,0.0
81491,0.0
452530,0.0
437317,0.0
163,1.0
29549,1.0
216496,0.0
328663,0.0
542910,0.0
87005,0.0
361140,0.0
91668,0.0
532338,0.0
168028,0.0
527093,0.0
555568,0.0
265535,0.0
14727,0.0
536586,0.0
92720,0.0
375690,0.0
365281,0.0
145832,0.0
436644,0.0
237993,0.0
506924,0.0
326696,0.0
333337,0.0
40304,0.0
558389,0.0
472718,0.0
501810,0.0
93030,0.0
370254,0.0
254395,0.0
550316,0.0
215274,0.0
509514,0.0
425515,0.0
414784,0.0
548685,0.0
189043,0.0
872,0.0
388675,0.0
253962,0.0
87274,0.0
549347,0.0
509443,0.0
248614,0.0
83257,0.0
104099,0.0
356168,0.0
41886,0.0
84141,0.0
526624,0.0
16,0.0
15549,0.0
337425,0.0
35518,0.0
116935,0.0
323443,0.0
539534,0.0
494346,0.0
348529,0.0
99447,0.0
284468,0.0
78523,0.0
65947,0.0
271617,0.0
29039,0.0
465915,0.0
253969,0.0
447730,0.0
96273,0.0
52267,0.0
511011,0.0
59898,0.0
467012,0.0
366883,0.0
409641,0.0
92289,0.0
450670,0.0
118683,0.0
246037,0.0
432507,0.0
541770,0.0
83757,0.0
461029,0.0
306842,0.0
71989,1.0
521966,1.0
448955,1.0
74253,1.0
262680,1.0
193413,1.0
305030,1.0
130314,1.0
539466,1.0
473771,1.0
408186,1.0
128542,1.0
482805,0.0
551670,0.0
207142,0.0
524382,0.0
472526,0.0
168516,0.0
438862,0.0
388873,0.0
557835,0.0
266312,0.0
7725,0.0
196298,0.0
555545,0.0
378729,0.0
240453,0.0
495998,0.0
95836,0.0
27119,0.0
538378,0.0
105331,0.0
283281,0.0
554039,0.0
345789,0.0
542724,0.0
29430,0.0
173754,0.0
553450,0.0
547019,0.0
83567,0.0
76026,0.0
78923,0.0
341840,0.0
509954,0.0
88696,0.0
17,0.0
10284,0.0
118599,0.0
133973,0.0
419019,0.0
341636,0.0
151722,0.0
498540,0.0
59426,0.0
471049,0.0
19021,0.0
68619,0.0
70934,0.0
145135,0.0
532199,0.0
37220,0.0
498598,0.0
464673,0.0
212035,0.0
439175,0.0
318860,0.0
258967,0.0
238636,0.0
300348,0.0
116879,0.0
392087,0.0
219668,0.0
542417,0.0
205578,0.0
463745,0.0
97661,0.0
107765,0.0
157668,0.0
93879,0.0
546577,0.0
272973,0.0
325637,0.0
78458,0.0
83538,0.0
465193,0.0
530459,0.0
517088,1.0
327621,1.0
455842,1.0
356583,1.0
208044,1.0
210363,1.0
518733,1.0
466988,1.0
258510,1.0
3282,1.0
110411,1.0
336010,1.0
121006,1.0
284931,1.0
237143,1.0
445819,1.0
76588,1.0
76716,1.0
474169,1.0
101807,1.0
551492,0.0
79322,0.0
256541,0.0
186949,0.0
262134,0.0
475301,0.0
167465,0.0
60547,0.0
368929,0.0
12185,0.0
111942,0.0
287687,0.0
399658,0.0
203800,0.0
108991,0.0
456071,0.0
510106,0.0
35489,0.0
144532,0.0
551581,0.0
296781,0.0
325846,0.0
